City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,saipan,15.1355,145.701,302.54,100,20,4.12,MP,1688557539
138,rongelap,11.1635,166.8941,301.33,81,16,10.34,MH,1688557488
139,casper,42.8666,-106.3131,284.66,81,76,2.68,US,1688558062
140,penjamo,20.4333,-101.7333,290.24,93,99,0.63,MX,1688558063
141,laojunmiao,39.8333,97.7333,297.74,11,100,3.31,CN,1688557534
142,mooloolaba,-26.6833,153.1167,292.07,83,0,3.14,AU,1688557830
143,tindouf,27.6711,-8.1474,315.4,11,0,6.69,DZ,1688557813
144,mhamid,29.82,-5.72,316.92,8,0,5.71,MA,1688558064
145,ayr,55.4627,-4.6339,290.36,67,40,6.69,GB,1688558064
146,port elizabeth,-33.918,25.5701,290.43,61,20,7.72,ZA,1688557481
147,sao raimundo das mangabeiras,-7.0219,-45.4811,300.02,44,79,5.57,BR,1688558065
148,zaterechnyy,44.7931,45.2097,308.5,20,0,5.94,RU,1688558066
149,san antonio de pale,-1.4014,5.6325,297.43,76,26,2.64,GQ,1688557569
150,whitehorse,60.7161,-135.0538,281.58,65,75,2.06,CA,1688557255
151,kavaratti,10.5669,72.642,301.62,79,100,11.86,IN,1688557664
152,mount isa,-20.7333,139.5,289.02,67,75,3.6,AU,1688557487
153,saint-philippe,-21.3585,55.7679,298.92,69,29,5.36,RE,1688557558
154,steinbach,50.1667,8.5667,295.15,46,0,10.29,DE,1688558067
155,san patricio,28.017,-97.5169,303.07,88,51,1.79,US,1688557556
156,oshnaviyeh,37.0397,45.0983,302.95,30,0,4.39,IR,1688558067
157,al mijlad,11.0333,27.7333,306.85,40,49,5.54,SD,1688557862
158,new norfolk,-42.7826,147.0587,282.55,91,100,0.95,AU,1688557567
159,kayangel,8.0823,134.7173,301.14,78,100,1.68,PW,1688558068
160,puerto deseado,-47.7503,-65.8938,276.93,66,55,8.69,AR,1688558069
161,mcalester,34.9334,-95.7697,297.6,90,1,0.89,US,1688558069
162,karratha,-20.7377,116.8463,293.75,38,91,4.33,AU,1688557559
163,fisterra,42.9049,-9.2629,294.68,85,90,4.93,ES,1688557675
164,sawakin,19.1059,37.3321,310.73,34,36,5.72,SD,1688557863
165,orange walk,17.8333,-88.8333,297.89,99,99,1.36,BZ,1688558070
166,usinsk,65.9939,57.5281,296.57,35,51,9.27,RU,1688557510
167,leeton,-34.5667,146.4,284.34,72,100,1.98,AU,1688558071
168,puerto armuelles,8.2833,-82.8667,299.91,85,97,0.45,PA,1688558071
169,hamilton,39.1834,-84.5333,295.8,93,100,0.0,US,1688557303
170,yaremche,48.4583,24.5519,295.95,75,89,1.58,UA,1688558072
171,viransehir,37.2353,39.7631,314.51,10,0,2.17,TR,1688558073
172,alice springs,-23.7,133.8833,281.9,81,40,0.0,AU,1688557763
173,sao tome,0.3365,6.7273,300.17,78,40,3.09,ST,1688557849
174,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,88,0,3.0,RU,1688557348
175,monrovia,6.3005,-10.7969,303.02,79,90,3.27,LR,1688558045
176,sirte,31.2089,16.5887,300.48,62,0,5.34,LY,1688558074
177,urangan,-25.3,152.9,293.82,96,8,2.46,AU,1688558074
178,taroa,8.7058,171.2275,301.26,78,88,9.06,MH,1688558075
179,al burayqah,30.4062,19.5739,299.33,69,1,6.87,LY,1688558076
180,talnakh,69.4865,88.3972,291.6,94,100,4.6,RU,1688557517
181,motilla del palancar,39.5709,-1.9068,302.37,18,14,3.74,ES,1688558076
182,lancaster,40.2504,-76.2499,298.55,88,2,0.45,US,1688558077
183,dwarka,22.2394,68.9678,302.96,76,82,6.28,IN,1688557665
184,alofi,-19.0595,-169.9187,295.09,83,100,4.12,NU,1688557886
185,mount pearl,47.5166,-52.7813,292.77,88,100,7.2,CA,1688557604
186,saint-paul,-21.0096,55.2707,299.21,77,29,0.66,RE,1688558077
187,labrador city,52.9463,-66.9114,290.1,88,0,0.0,CA,1688557679
188,roscommon,53.6333,-8.1833,287.1,73,79,5.76,IE,1688558078
189,baruun-urt,46.6806,113.2792,290.89,60,99,3.96,MN,1688557840
190,santo antonio do leverger,-15.8656,-56.0767,290.36,38,2,1.89,BR,1688558079
191,sigli,5.3848,95.9609,300.87,73,76,0.79,ID,1688558079
192,badger,64.8,-147.5333,285.27,73,20,0.0,US,1688557545
193,poplar bluff,36.757,-90.3929,296.0,68,8,0.89,US,1688558080
194,lienz,46.8289,12.769,297.88,75,35,1.83,AT,1688558081
195,castillos,-34.1667,-53.8333,289.08,93,77,2.42,UY,1688558081
196,shingu,33.7333,135.9833,297.75,99,100,2.03,JP,1688557573
197,lata,40.1629,-8.3327,301.2,48,91,3.47,PT,1688557602
198,mermoz boabab,14.7065,-17.4758,305.46,66,40,6.17,SN,1688558082
199,happy valley-goose bay,53.3168,-60.3315,287.32,82,75,1.54,CA,1688557510
200,arraial do cabo,-22.9661,-42.0278,292.07,82,0,6.69,BR,1688557776
201,kingston,17.997,-76.7936,301.68,84,40,11.83,JM,1688557598
202,slavutych,51.5196,30.7343,301.04,40,100,1.79,UA,1688558083
203,lenino,45.2986,35.7771,305.01,37,0,3.11,UA,1688558084
204,jalgaon jamod,21.0486,76.5344,304.81,61,96,2.29,IN,1688558084
205,tazovsky,67.4667,78.7,291.16,61,4,5.43,RU,1688557508
206,orzu,37.5593,68.8184,309.37,11,2,5.75,TJ,1688558085
207,vilyuchinsk,52.9306,158.4028,286.3,94,95,1.24,RU,1688557512
208,cabo san lucas,22.8909,-109.9124,301.21,45,21,0.89,MX,1688557397
209,geraldton,-28.7667,114.6,284.38,87,75,2.57,AU,1688557749
210,beira,-19.8436,34.8389,302.2,48,20,1.54,MZ,1688557909
211,ust-nera,64.5667,143.2,291.53,47,27,2.87,RU,1688557536
212,saldanha,-33.0117,17.9442,292.18,54,78,4.01,ZA,1688557561
213,fortuna,40.5982,-124.1573,285.34,96,100,0.45,US,1688557588
214,nuriootpa,-34.4833,139.0,286.47,66,53,5.38,AU,1688558087
215,tual,-5.6667,132.75,299.88,86,66,8.46,ID,1688557671
216,dampit,-8.2116,112.7493,294.23,98,78,1.55,ID,1688558088
217,bangassou,4.7413,22.8184,300.6,69,58,1.97,CF,1688557675
218,tamanrasset,22.785,5.5228,310.1,9,0,3.6,DZ,1688558089
219,trincomalee,8.5711,81.2335,303.05,63,99,10.34,LK,1688558011
220,castrovillari,39.8203,16.2123,301.64,50,17,3.16,IT,1688558089
221,linxia chengguanzhen,35.6003,103.2064,289.37,70,60,1.35,CN,1688558089
222,at taj,24.2049,23.2857,311.78,12,9,6.52,LY,1688558090
223,goundam,16.4145,-3.6708,311.95,25,29,6.02,ML,1688558090
224,grande prairie,55.1667,-118.8027,282.25,100,40,0.0,CA,1688558091
225,zaozersk,69.4005,32.4476,282.1,94,100,2.33,RU,1688558091
226,sassandra,4.95,-6.0833,302.04,66,75,2.73,CI,1688557923
227,nuuk,64.1835,-51.7216,279.13,89,100,4.29,GL,1688557880
228,ribas do rio pardo,-20.4431,-53.7592,291.29,52,1,1.96,BR,1688558092
229,hasaki,35.7333,140.8333,298.27,89,100,6.71,JP,1688557459
230,huruta,8.15,39.35,297.17,49,49,2.51,ET,1688558093
231,essaouira,31.5125,-9.77,298.83,60,3,11.18,MA,1688558093
232,montepuez,-13.1256,38.9997,299.65,31,92,2.63,MZ,1688558094
233,cill airne,52.05,-9.5167,288.18,82,75,7.72,IE,1688557887
234,warwick,41.7001,-71.4162,295.83,91,5,0.45,US,1688558094
235,tofol,5.3248,163.0078,301.86,77,84,8.11,FM,1688557603
236,targu secuiesc,46.0,26.1333,300.15,62,45,3.15,RO,1688558095
237,longyearbyen,78.2186,15.6401,288.06,47,0,4.12,SJ,1688557496
238,fale old settlement,-9.3852,-171.2468,301.44,78,17,7.67,TK,1688557627
239,bubaque,11.2833,-15.8333,301.04,79,68,4.97,GW,1688557592
240,lodwar,3.1191,35.5973,306.18,31,0,3.27,KE,1688558096
241,ha'il,27.5219,41.6907,312.16,10,0,2.06,SA,1688557924
242,sur,22.5667,59.5289,305.22,65,100,2.89,OM,1688557525
243,vuktyl,63.8567,57.3094,299.55,30,27,4.86,RU,1688558097
244,georgetown,5.4112,100.3354,304.79,67,40,4.63,MY,1688558075
245,al kharj,24.155,47.3346,317.47,4,4,8.42,SA,1688558098
246,ebon,4.582,168.6964,301.61,79,57,8.17,MH,1688558098
247,arvayheer,46.2639,102.775,287.96,55,11,10.4,MN,1688558098
248,birao,10.2849,22.7882,299.85,72,100,1.85,CF,1688558099
249,uturoa,-16.7333,-151.4333,299.63,78,100,8.87,PF,1688558100
250,mersing,2.4312,103.8405,303.1,79,20,1.03,MY,1688558101
251,viedma,-40.8135,-62.9967,279.37,47,41,6.11,AR,1688558101
252,fayzabad,37.1166,70.58,301.2,27,80,2.59,AF,1688558102
253,ola,59.5833,151.2833,287.12,97,93,2.92,RU,1688557535
254,anori,-3.7728,-61.6442,299.18,78,99,0.87,BR,1688558102
255,boca suno,-0.7167,-77.1333,294.32,98,63,0.39,EC,1688558103
256,st. john's,47.5649,-52.7093,293.23,89,100,7.2,CA,1688557564
257,puerto santa,-8.9906,-78.6456,294.95,80,94,3.18,PE,1688557875
258,livadeia,38.435,22.8739,305.89,41,11,4.23,GR,1688558104
259,borcka,41.3632,41.6765,299.35,55,0,2.68,TR,1688558104
260,remire-montjoly,4.9167,-52.2667,298.17,88,0,1.03,GF,1688557360
261,kruisfontein,-34.0033,24.7314,289.2,55,62,6.07,ZA,1688557646
262,seydi,39.4816,62.9137,310.62,14,13,7.65,TM,1688558105
263,ginir,7.1333,40.7,295.6,57,65,2.59,ET,1688558105
264,kidal,18.4411,1.4078,313.21,14,0,3.05,ML,1688558105
265,susuman,62.7833,148.1667,288.3,87,100,1.65,RU,1688558106
266,ust'-ilimsk,58.0006,102.6619,298.02,53,91,4.45,RU,1688557356
267,sheboygan,43.7333,-87.9334,297.31,80,39,0.45,US,1688558107
268,saint-francois,46.4154,3.9054,293.84,56,75,3.09,FR,1688557784
269,santa elena de uairen,4.6167,-61.1333,294.15,82,87,1.13,VE,1688558107
270,ziro,27.6333,93.8333,292.56,97,85,0.54,IN,1688558108
271,buka,40.8108,69.1986,308.33,15,1,6.99,UZ,1688557672
272,hassi messaoud,31.6804,6.0729,316.07,10,4,3.6,DZ,1688557532
273,canakkale,40.0833,26.8333,300.66,45,15,7.22,TR,1688558109
274,richards bay,-28.783,32.0377,292.28,67,99,6.62,ZA,1688557826
275,cozumel,20.5083,-86.9458,300.9,94,75,0.0,MX,1688558109
276,pacific grove,36.6177,-121.9166,286.05,86,100,1.54,US,1688557618
277,prince rupert,54.3161,-130.3201,285.98,92,100,4.63,CA,1688557602
278,pusad,19.9,77.5833,305.7,54,78,2.05,IN,1688558110
279,sitka,57.0531,-135.33,286.09,67,100,4.12,US,1688557791
280,cabedelo,-6.9811,-34.8339,298.52,77,71,8.41,BR,1688558111
281,el calafate,-50.3408,-72.2768,271.52,88,60,2.79,AR,1688557615
282,jabat,7.75,168.9751,301.44,80,46,9.3,MH,1688558112
283,barranca,-10.75,-77.7667,292.98,82,67,3.37,PE,1688557692
284,leava,-14.3,-178.1667,300.62,69,41,7.49,WF,1688558113
285,kirensk,57.7853,108.1119,294.73,80,100,4.12,RU,1688558113
286,colby,39.3958,-101.0524,290.18,92,75,10.8,US,1688558113
287,masaka,-0.3338,31.7341,299.64,39,25,6.96,UG,1688558113
288,pocoes,-14.5297,-40.3653,288.87,83,77,3.4,BR,1688558114
289,tipasa,36.5897,2.4475,303.73,50,0,3.73,DZ,1688558114
290,puerto baquerizo moreno,-0.9,-89.6,298.29,79,100,4.74,EC,1688557659
291,san juan de uraba,8.7592,-76.5297,298.74,90,100,1.53,CO,1688558115
292,khandyga,62.6667,135.6,291.34,65,80,1.19,RU,1688558115
293,majuro,7.0897,171.3803,301.13,78,75,3.09,MH,1688558116
294,cornwall,45.0181,-74.7281,296.62,92,8,2.8,CA,1688558116
295,tres isletas,-26.3407,-60.4321,294.83,50,78,3.01,AR,1688558116
296,williston,48.147,-103.618,282.77,89,71,2.06,US,1688558117
297,tabas,33.5959,56.9244,313.27,9,0,4.12,IR,1688558117
298,abepura,-2.6333,140.5833,296.6,94,40,1.03,ID,1688557656
299,codrington,-38.2667,141.9667,283.19,77,93,6.28,AU,1688557623
300,birjand,32.8663,59.2211,305.41,9,0,8.23,IR,1688558118
301,young,-32.6833,-57.6333,290.14,90,73,0.86,UY,1688558118
302,nyagan,62.1406,65.3936,302.73,27,3,3.25,RU,1688558118
303,atafu village,-8.5421,-172.5159,301.57,77,26,7.56,TK,1688558119
304,faya-largeau,17.9257,19.1043,316.01,10,10,8.01,TD,1688557880
305,kasungu,-13.0333,33.4833,296.13,34,20,5.95,MW,1688558119
306,mombaca,-5.7431,-39.6275,298.75,55,40,4.52,BR,1688558120
307,sidi khaled,34.387,4.9879,312.34,18,0,3.83,DZ,1688558120
308,murmuiza,57.4833,25.4833,292.71,48,61,5.04,LV,1688558120
309,mata-utu,-13.2816,-176.1745,300.87,78,60,8.76,WF,1688557637
310,shimoda,34.6667,138.95,295.99,93,100,2.79,JP,1688557510
311,adre,13.4667,22.2,305.37,38,100,4.95,TD,1688558121
312,rach gia,10.0167,105.0833,302.19,76,84,5.95,VN,1688558122
313,trenggalek,-8.05,111.7167,296.87,96,87,1.82,ID,1688557704
314,tadine,-21.55,167.8833,294.31,76,27,4.42,NC,1688558123
315,acapulco de juarez,16.8634,-99.8901,300.05,89,75,2.06,MX,1688557682
316,kanchanaburi,14.6333,99.1,297.63,88,100,1.77,TH,1688558124
317,siwa oasis,29.2041,25.5195,308.94,22,0,4.16,EG,1688557818
318,akhmim,26.5622,31.745,311.26,16,0,7.81,EG,1688558127
319,la passe,45.5549,-0.8967,296.28,62,93,4.27,FR,1688557629
320,itoman,26.1247,127.6694,302.58,91,75,7.72,JP,1688557570
321,gorontalo,0.5412,123.0595,298.29,95,100,0.94,ID,1688558128
322,kununurra,-15.7667,128.7333,296.14,73,40,0.0,AU,1688557685
323,malegaon,20.55,74.5333,302.29,69,96,2.57,IN,1688558129
324,nueva gerona,21.8833,-82.8,301.87,75,99,3.63,CU,1688558130
325,kerikeri,-35.2268,173.9474,283.66,92,91,0.45,NZ,1688557576
326,souillac,-20.5167,57.5167,298.36,61,20,5.66,MU,1688557659
327,chinsali,-10.5414,32.0816,297.36,27,0,3.42,ZM,1688558130
328,akhaltsikhe,41.639,42.9826,300.72,47,27,2.59,GE,1688558132
329,revda,56.801,59.9303,299.86,50,43,2.27,RU,1688557904
330,crane,31.3974,-102.3501,297.26,64,0,5.9,US,1688557581
331,weno,7.4515,151.8468,301.12,89,100,2.06,FM,1688557553
332,olenino,56.2092,33.4889,296.82,47,41,3.22,RU,1688557594
333,kapuskasing,49.4169,-82.4331,292.2,82,75,4.12,CA,1688557694
334,ambovombe,-25.1667,46.0833,298.98,38,0,2.87,MG,1688557846
335,magadan,59.5667,150.8,286.78,97,90,2.8,RU,1688558134
336,menongue,-14.6585,17.691,298.78,18,1,4.37,AO,1688557629
337,port saint john's,-31.6229,29.5448,291.34,43,22,6.74,ZA,1688557927
338,juva,56.4368,57.9478,302.4,40,6,3.23,RU,1688558134
339,ankang,32.68,109.0172,299.63,68,51,0.91,CN,1688558075
340,ribeira brava,32.65,-17.0667,297.11,75,38,0.85,PT,1688558136
341,lautoka,-17.6167,177.4667,295.07,78,20,0.0,FJ,1688558136
342,kunming,25.0389,102.7183,297.11,57,40,8.0,CN,1688557959
343,gizo,-8.103,156.8419,299.45,86,100,4.8,SB,1688558136
344,wlodawa,51.55,23.55,302.01,37,60,3.28,PL,1688558137
345,port lincoln,-34.7333,135.8667,286.61,73,64,5.6,AU,1688557585
346,piton saint-leu,-21.2196,55.3151,297.21,47,20,2.57,RE,1688558138
347,timimoun,29.2639,0.231,320.36,5,3,8.23,DZ,1688557493
348,klyuchi,52.2667,79.1667,296.25,47,95,3.48,RU,1688557630
349,bintulu,3.1667,113.0333,298.38,94,40,0.51,MY,1688558139
350,machina,13.1364,10.0492,309.3,29,87,4.02,NG,1688558139
351,ialibu,-6.2821,143.9935,287.7,98,98,0.49,PG,1688558139
352,uray,60.1247,64.7758,303.18,31,1,3.21,RU,1688558140
353,poronaysk,49.2167,143.1167,283.25,94,100,2.31,RU,1688557543
354,villa gesell,-37.2639,-56.973,284.29,87,6,4.47,AR,1688558140
355,mahina,-17.5065,-149.489,297.02,73,40,2.06,PF,1688558140
356,mullovka,54.2,49.4,303.05,37,84,0.89,RU,1688558141
357,dunedin,-45.8742,170.5036,281.93,66,92,9.39,NZ,1688557566
358,chipinge,-20.1883,32.6236,295.79,22,1,4.08,ZW,1688558074
359,lashio,22.9333,97.75,295.48,97,100,0.39,MM,1688558142
360,berezovyy,51.6667,135.7,290.71,90,19,1.01,RU,1688558142
361,nar'yan-mar,67.6713,53.087,294.23,45,77,7.16,RU,1688557438
362,cuito,-12.3833,16.9333,296.41,22,0,2.18,AO,1688558143
363,dryden,49.7833,-92.7503,284.31,87,100,2.57,CA,1688558143
364,mauganj,24.6833,81.8833,306.76,49,97,4.24,IN,1688558143
365,pekan,3.4836,103.3996,302.21,80,67,2.03,MY,1688558144
